year,sport,gender,,recognition_type,athlete name,school,selector,class,position,story
2026,basketball,boys,,player_of_the_year,Mason Collins,Tatnall,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,first_team_all_state,Mason Collins,Tatnall,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,first_team_all_state,Nicholas Baysah,Howard,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,first_team_all_state,JayVion Denis,Dover,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,first_team_all_state,Josh Obiora,St. Georges,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,first_team_all_state,Jameson Tingle,Cape Henlopen,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,second_team_all_state,Vince Evans III,Seaford,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,second_team_all_state,Bryson Lane,Howard,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,second_team_all_state,Chase Sullivan,Smyrna,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,second_team_all_state,Tarrance Williams,Dover,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,second_team_all_state,Latrell Wright,Salesianum,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,third_team_all_state,Chase Little,Dover,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,third_team_all_state,Kalil Riley,Tower Hill,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,third_team_all_state,Kendal Riley Garlick,William Penn,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,third_team_all_state,King Savior,Middletown,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,third_team_all_state,Logan Show,Smyrna,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Elijah Coates,St. Georges,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Gi Lyl Conrad,A.I. du Pont,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,A'Zir Ellegood,Sanford,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Terrane Harvey,Appoquinimink,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Dadrien Howell,Brandywine,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Kareem King,Dover,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Niquan Lee,Caravel,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Aizyon Matthews,Seaford,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Jaelan Murphy,Middletown,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,John Orsini,Archmere,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Amir Robertson,A.I. du Pont,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Michael Sheehan,Caravel,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Stephen Sivels,Cape Henlopen,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,boys,,honorable_mention_all_state,Vinny Starr,Conrad,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
