year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2025,basketball,boys,Overall,Sanford,Khallid Hart,Dover,37,34,,
2024,basketball,boys,Overall,Dover,Stephen Wilson,Salesianum,56,53,,
2023,basketball,boys,Overall,Salesianum,Taylor Trevisan,William Penn,48,44,,
2022,basketball,boys,Overall,Tower Hill,Patrick Kaiser,Salesianum,79,43,,
2021,basketball,boys,Overall,Sanford,Stan Waterman,Smyrna,51,45,,
2020,basketball,boys,Overall,,,,,,,
2019,basketball,boys,Overall,Sanford,Stan Waterman,Dover,48,45,,
2018,basketball,boys,Overall,St. Elizabeth,Matt Rubincam,Smyrna,60,49,,
2017,basketball,boys,Overall,Smyrna,Andrew Mears,Caravel,61,53,,
2016,basketball,boys,Overall,Sanford,Stan Waterman,St. Georges,39,32,,
2015,basketball,boys,Overall,Salesianum,Brendan Haley,Polytech,52,45,,
2014,basketball,boys,Overall,Salesianum,Brendan Haley,St. Georges,50,45,,
2013,basketball,boys,Overall,Howard,Chris DiMascio,Sanford,81,62,,
2012,basketball,boys,Overall,Sanford,Stan Waterman,Newark,58,50,,
2011,basketball,boys,Overall,Sanford,Stan Waterman,Red Lion,60,58,,
2010,basketball,boys,Overall,Sanford,Stan Waterman,Dover,55,45,,
2009,basketball,boys,Overall,William Penn,Michael Sanford,Caesar Rodney,67,54,,
2008,basketball,boys,Overall,Caravel,Tom Wiley,Newark,53,50,,
2007,basketball,boys,Overall,Christiana,Nate Mariano,Sanford,67,41,,
2006,basketball,boys,Overall,Tatnall,Anthony Wright,Caravel,73,71,2 OT,
2005,basketball,boys,Overall,Middletown,Chuck Robinson,Caravel,77,58,,
2004,basketball,boys,Overall,Middletown,Chuck Robinson,Salesianum,59,54,,
2003,basketball,boys,Overall,Glasgow,Don Haman,Dover,72,62,,
2002,basketball,boys,Overall,Sanford,Stan Waterman,Hodgson,63,44,,
2001,basketball,boys,Overall,William Penn,Jim Perialas,Newark,73,53,,
2000,basketball,boys,Overall,A.I. du Pont,Greg Williams,William Penn,76,72,,
1999,basketball,boys,Overall,William Penn,Steve Johnson,Lake Forest,78,42,,
1998,basketball,boys,Overall,Brandywine,Joe Rapczynski,William Penn,52,51,OT,
1997,basketball,boys,Overall,Seaford,Charles O'Donnell,Newark,77,74,,
1996,basketball,boys,Overall,Howard,Paul Brown,Cape Henlopen,67,63,OT,
1995,basketball,boys,Overall,Saint Mark's,Lee Sibley,William Penn,52,51,,
1994,basketball,boys,Overall,William Penn,Jim Phillips,Caesar Rodney,67,62,,
1993,basketball,boys,Overall,Glasgow,Don Haman,Salesianum,79,69,,
1992,basketball,boys,Overall,Sanford,Stan Waterman,Mount Pleasant,70,61,,
1991,basketball,boys,Overall,Sanford,Thom Shumosic,Salesianum,71,57,,
1990,basketball,boys,Overall,Newark,Jim Doody,Seaford,76,58,,
1989,basketball,boys,Overall,Saint Mark's,Steve Johnson,Newark,58,57,,
1988,basketball,boys,Overall,Wilmington,Gene Thompson,Sussex Central,46,39,,
1987,basketball,boys,Overall,Newark,Jim Doody,Woodbridge,60,46,,
1986,basketball,boys,Overall,Sanford,Gil Jackson,Seaford,73,67,,
1985,basketball,boys,Overall,Howard,Joe Hussey,Delmar,56,54,,
1984,basketball,boys,Overall,Caesar Rodney,Marshall Emery,Claymont,58,53,,
1983,basketball,boys,Overall,Wilmington,Gene Thompson,Salesianum,48,42,,
1982,basketball,boys,Overall,Newark,Jim Doody,Delcastle,77,70,,
1981,basketball,boys,Overall,Indian River,Dave Cook,Howard,48,47,,
1980,basketball,boys,Overall,Indian River,Dave Cook,Cape Henlopen,66,65,,
1979,basketball,boys,Overall,Concord,Rick Albertson,Cape Henlopen,68,65,,
1978,basketball,boys,Overall,Wilmington,Gene Thompson,Indian River,55,49,,
1977,basketball,boys,Overall,Brandywine,Pat McClary,Dover,68,58,,
1976,basketball,boys,Overall,Cape Henlopen,Ralph Baird,P.S. du Pont,73,71,,
1975,basketball,boys,Overall,Cape Henlopen,Ralph Baird,Salesianum,83,48,,
1974,basketball,boys,Overall,Wilmington,Gregg McNeill,Howard,64,57,,
1973,basketball,boys,Overall,Howard,Jay Thomas,Wilmington,75,67,,
1972,basketball,boys,Overall,Wilmington,Tim Autry,Dover,57,56,,
1971,basketball,boys,Overall,Milford,Dan McGinniss,P.S. du Pont,50,43,,
1970,basketball,boys,Overall,De La Warr,Charley Remsburg,Christiana,61,56,,
1969,basketball,boys,Overall,De La Warr,Charley Remsburg,Conrad,61,50,,
1968,basketball,boys,Overall,P.S. du Pont,Frank Brady,Newark,81,65,,
1967,basketball,boys,Overall,Mount Pleasant,Buddy Clark,Brandywine,49,38,,
2025,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Tower Hill,20,9,,
2024,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Tatnall,12,8,,
2023,lacrosse,girls,Overall,Tatnall,Ruth Hiller,Cape Henlopen,10,9,,
2022,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Tatnall,16,4,,
2021,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Tatnall,17,10,,
2020,lacrosse,girls,Overall,,,,,,,
2019,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Archmere,15,8,,
2018,lacrosse,girls,Overall,Cape Henlopen,Lindsey Underwood,Saint Mark's,15,5,,
